feature,lasso_coef,abs_coef,selected
sofa_cns,1.1296113148635971,1.1296113148635971,True
rass_min,-1.0457007243456349,1.0457007243456349,True
rass_max,0.9825976453086027,0.9825976453086027,True
rass_ever_unarousable,-0.45593132127780905,0.45593132127780905,True
gcs_first,0.3828559825007924,0.3828559825007924,True
age,0.32792870233916216,0.32792870233916216,True
rass_mean,-0.3250792167479786,0.3250792167479786,True
rass_ever_agitated,0.281006970282136,0.281006970282136,True
severe_pain,-0.25181503818627504,0.25181503818627504,True
sofa_cardio,0.23994102184770472,0.23994102184770472,True
vasopressor_any,-0.23492043782686545,0.23492043782686545,True
cm_electrolyte_disorder,0.20727622595328124,0.20727622595328124,True
cm_cad,-0.1934722623179638,0.1934722623179638,True
dexmedetomidine,0.19142189472434995,0.19142189472434995,True
sodium_max,0.16491773990546468,0.16491773990546468,True
comorbidity_count,0.15871001032525187,0.15871001032525187,True
chloride_min,-0.15299080827486614,0.15299080827486614,True
norepinephrine,0.14988606655165582,0.14988606655165582,True
neurologic_burden,0.14838604978863754,0.14838604978863754,True
hydromorphone,0.1312732051709215,0.1312732051709215,True
rass_ever_deeply_sedated,-0.130159131877873,0.130159131877873,True
sofa_resp,-0.11707056083815015,0.11707056083815015,True
map_min,0.11665384020290005,0.11665384020290005,True
rr_max,-0.10311185524956579,0.10311185524956579,True
sofa_renal,0.10144874203289268,0.10144874203289268,True
hypoxia,0.09895900394199256,0.09895900394199256,True
cm_malnutrition,0.09789933669117246,0.09789933669117246,True
temp_f_mean,0.09687955961622172,0.09687955961622172,True
mechanical_vent,-0.09665644757626103,0.09665644757626103,True
fentanyl,0.0919440750108537,0.0919440750108537,True
cm_cancer,-0.09108948079043666,0.09108948079043666,True
morphine,0.0890442061527863,0.0890442061527863,True
cm_sepsis,0.08765192329980716,0.08765192329980716,True
propofol,-0.08756614478604095,0.08756614478604095,True
rr_mean,0.08720963262307807,0.08720963262307807,True
sbp_min,0.08716295463138286,0.08716295463138286,True
hr_max,0.07778981627554125,0.07778981627554125,True
opioid_any,-0.07733158604806785,0.07733158604806785,True
spo2_min,0.07609160181148165,0.07609160181148165,True
hr_sd,-0.07338259177258384,0.07338259177258384,True
pain_max_24h,0.07146115496072228,0.07146115496072228,True
sofa_severe,-0.06598448755694351,0.06598448755694351,True
insurance_coded,-0.06588397796529111,0.06588397796529111,True
cm_anemia,0.06504254646697712,0.06504254646697712,True
hr_mean,-0.06458215159663999,0.06458215159663999,True
epinephrine,-0.06270707871897917,0.06270707871897917,True
midazolam,0.06071337445578474,0.06071337445578474,True
leukocytosis,0.05996623929504432,0.05996623929504432,True
cm_stroke,0.05824268654650894,0.05824268654650894,True
glucose_min,0.0564149764401072,0.0564149764401072,True
potassium_min,-0.053166229656879595,0.053166229656879595,True
fever,0.05145443373130989,0.05145443373130989,True
pain_mean_24h,-0.050470304585192846,0.050470304585192846,True
nighttime_admission,0.04763426096493293,0.04763426096493293,True
lactate_max,-0.047138996199153536,0.047138996199153536,True
dementia_alzheimers,-0.04663552383729644,0.04663552383729644,True
severe_anemia,0.046258836184066066,0.046258836184066066,True
hypoalbuminemia,0.043171230138140206,0.043171230138140206,True
dementia_icd,0.04210255607253632,0.04210255607253632,True
race_coded,0.041947695498841926,0.041947695498841926,True
cm_alcohol,0.04140990677046911,0.04140990677046911,True
hr_min,0.04062068166136115,0.04062068166136115,True
hyperlactatemia,-0.040404620047973364,0.040404620047973364,True
cm_schizophrenia,0.03983520734073918,0.03983520734073918,True
age_group,0.03861752600021339,0.03861752600021339,True
spo2_mean,0.0373030092915509,0.0373030092915509,True
female,0.03534850376249256,0.03534850376249256,True
cm_bipolar,0.034653983265626576,0.034653983265626576,True
calcium_max,0.03411579230674247,0.03411579230674247,True
cm_anxiety,-0.03411548232551895,0.03411548232551895,True
tachycardia,0.030984781305570763,0.030984781305570763,True
phenylephrine,0.02980405834530039,0.02980405834530039,True
gcs_severe_admission,0.027222426505007852,0.027222426505007852,True
thrombocytopenia,0.02702347807020299,0.02702347807020299,True
aki_flag,0.02542033108998919,0.02542033108998919,True
hypotension,-0.024842287700826568,0.024842287700826568,True
bradycardia,0.024487197855964708,0.024487197855964708,True
cm_parkinsons,-0.02077856829647855,0.02077856829647855,True
dyskalemia,0.01942800546911982,0.01942800546911982,True
cm_depression,0.01561931902460909,0.01561931902460909,True
cm_diabetes,-0.01557192549184002,0.01557192549184002,True
potassium_max,-0.015089584473693551,0.015089584473693551,True
sofa_coag,-0.0133943948505349,0.0133943948505349,True
marital_coded,0.01335777826119515,0.01335777826119515,True
cm_copd,0.013306818372011154,0.013306818372011154,True
cm_liver,0.011243833662766557,0.011243833662766557,True
positive_fluid_balance,-0.011217897016525348,0.011217897016525348,True
platelets_min,-0.010638807068039895,0.010638807068039895,True
hypoglycemia,-0.0072219274819854025,0.0072219274819854025,True
sedative_any,0.007201413528139747,0.007201413528139747,True
hyperglycemia,0.006682238628905371,0.006682238628905371,True
bun_max,0.0065026715872038955,0.0065026715872038955,True
lorazepam,-0.005873884543073611,0.005873884543073611,True
wbc_max,-0.005499055463126842,0.005499055463126842,True
dementia_vascular,-0.005304588532005504,0.005304588532005504,True
hematocrit_min,0.005005551108326654,0.005005551108326654,True
vasopressin,0.004016793362711612,0.004016793362711612,True
inr_max,-0.003647094998147713,0.003647094998147713,True
cm_hypertension,0.0026499463342816035,0.0026499463342816035,True
coagulopathy,0.0024712140527748676,0.0024712140527748676,True
icu_type,-0.0017833021527657678,0.0017833021527657678,True
creatinine_max,-0.0016798997962762783,0.0016798997962762783,True
cm_ckd,-0.00027149889207384715,0.00027149889207384715,True
prior_icu_stay,0.0,0.0,False
english_speaker,0.0,0.0,False
sodium_min,0.0,0.0,False
sofa_liver,0.0,0.0,False
map_mean,0.0,0.0,False
sbp_max,0.0,0.0,False
sbp_mean,0.0,0.0,False
temp_f_max,0.0,0.0,False
admission_urgency,0.0,0.0,False
sofa_total,0.0,0.0,False
