Model,Cohort,N_test,N_positive,AUROC,CV_AUROC_mean,CV_AUROC_sd,PR_AUC,Brier_Score,CI_95_lo,CI_95_hi
Logistic Regression (LASSO),Test set (primary),8149,1068,0.938,0.939,0.004,0.712,0.0609,,
XGBoost (calibrated),Test set (primary),8149,1068,0.949,0.95,0.002,0.757,0.0562,0.944,0.955
